StudentID,name,gender,phone,Age,Classroom_id,Parent_id,ExtraCurricularActivityId,ExtraCurricularActivity,WAECID,MockId,WAEC_Maths,WAEC_English,WAEC_Civic,WAEC_Electronics,WAEC_Economics,WAEC_Biology,WAEC_Physics,WAEC_Chemistry,WAEC_Geography,WAEC_Accounting,WAEC_Commerce,WAEC_Government,WAEC_Book Keeping,Jamb,Maths,English,Civic,Electronics,Economics,Biology,Physics,Chemistry,Geography,Accounting,Commerce,Government,Book Keeping,SupportingParent,HighestParentEducation,Family_Size
1,Mikel,0,2347530000000.0,17.0,4,101,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,67,54,60,48,50,50,68,59,66,0,0,0,0,0,2,5
2,Nick,1,2344140000000.0,16.4,4,102,1,1,2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63,57,68,63,74,59,58,60,57,0,0,0,0,0,2,6
3,Warren,1,2347340000000.0,17.7,3,103,2,2,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72,67,59,56,57,0,0,0,0,56,62,62,68,1,3,5
4,Sachiko,1,2342030000000.0,16.6,4,104,2,2,4,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63,65,60,58,56,59,50,51,57,0,0,0,0,1,0,5
5,Jacinda,0,2342750000000.0,16.5,4,105,2,2,5,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68,56,51,64,60,60,70,61,74,0,0,0,0,0,1,4
6,Elizbeth,1,2349070000000.0,16.9,4,106,2,2,6,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,65,65,64,55,61,56,58,63,0,0,0,0,1,1,3
7,Tijuana,0,2348130000000.0,16.7,3,107,1,1,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,60,50,55,54,0,0,0,0,57,55,63,56,1,3,5
8,Lou,1,2346040000000.0,16.2,3,108,2,2,8,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,63,68,66,64,59,0,0,0,0,68,62,72,56,0,2,4
9,Melida,0,2347690000000.0,16.0,3,109,1,1,9,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,52,64,54,65,54,0,0,0,0,58,52,52,53,2,3,4
10,Michel,0,2343850000000.0,17.1,3,110,1,1,10,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,53,62,54,68,53,0,0,0,0,51,62,63,60,0,0,5
11,Isidro,0,2343230000000.0,17.4,4,111,1,1,11,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,60,63,51,52,68,69,63,63,66,0,0,0,0,0,2,6
12,Tyler,1,2344440000000.0,16.5,4,112,2,2,12,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55,58,59,61,69,72,73,50,74,0,0,0,0,0,0,5
13,Aron,0,2349490000000.0,17.7,4,113,1,1,13,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50,46,57,51,52,51,58,45,60,0,0,0,0,2,2,4
14,Chuck,0,2346020000000.0,17.7,4,114,1,1,14,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,51,59,62,59,61,60,59,45,59,0,0,0,0,1,0,4
15,Melodi,0,2348640000000.0,16.8,4,115,1,1,15,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,64,55,47,60,55,48,51,51,52,0,0,0,0,2,2,5
16,Jesenia,0,2349360000000.0,16.8,4,116,1,1,16,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,61,52,64,65,55,60,53,65,60,0,0,0,0,0,2,4
17,Hugo,0,2346690000000.0,16.3,3,117,1,1,17,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,62,65,67,62,52,0,0,0,0,60,50,67,60,2,1,4
18,Darron,1,2343850000000.0,16.2,4,118,2,2,18,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,73,68,74,68,70,58,62,68,73,0,0,0,0,0,2,4
19,Eleonore,1,2342670000000.0,16.6,3,119,3,0,19,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,72,100,96,77,71,0,0,0,0,82,77,89,90,0,3,4
20,Kim,1,2344100000000.0,16.4,4,120,2,2,20,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,69,65,73,63,62,55,74,63,65,0,0,0,0,0,2,4
21,Tory,0,2349900000000.0,16.0,3,121,1,1,21,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,47,60,47,45,50,0,0,0,0,51,60,62,50,1,0,5
22,Hang,0,2343600000000.0,16.4,3,122,1,1,22,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55,57,64,64,56,0,0,0,0,69,67,69,50,0,3,3
23,Chadwick,1,2348470000000.0,16.1,3,123,1,1,23,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,57,66,55,60,65,0,0,0,0,74,66,64,73,0,2,5
24,Justin,1,2342790000000.0,16.2,4,124,2,2,24,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,68,73,71,73,68,66,59,56,73,0,0,0,0,1,3,5
25,Kenton,0,2345580000000.0,16.5,4,125,2,2,25,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,46,59,59,45,54,53,46,64,69,0,0,0,0,2,2,6
26,Maia,0,2344240000000.0,16.2,3,126,2,2,26,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,55,45,59,55,62,0,0,0,0,49,59,48,53,2,0,4
